"","int_pos","var_name","x","label","length","decimal_places","fin_pos","col_type","CHAR"
"1",3,"rm","2.",NA,2,0,4,"i",FALSE
"2",5,"uf","2.",NA,2,0,6,"i",FALSE
"3",7,"seq","3.",NA,3,0,9,"i",FALSE
"4",10,"digito","1.",NA,1,0,10,"i",FALSE
"5",11,"domicilio","2.",NA,2,0,12,"i",FALSE
"6",5,"domicilioID","8.",NA,8,0,12,"i",FALSE
"7",13,"uniconsumo","1.",NA,1,0,13,"i",FALSE
"8",5,"uniconsumoID","9.",NA,2,0,13,"i",FALSE
"9",14,"coddespesa","4.",NA,4,0,17,"i",FALSE
"10",18,"dvdespesa","1.",NA,1,0,18,"i",FALSE
"11",20,"mesaquisicao","2.",NA,2,0,21,"i",FALSE
"12",22,"anoaquisicao","2.",NA,2,0,23,"i",FALSE
"13",24,"formaaquisicao","1.",NA,1,0,24,"i",FALSE
"14",25,"valoritem","10.",NA,10,2,34,"d",FALSE
"15",35,"locladecompra","2.",NA,2,0,36,"i",FALSE
"16",37,"deflator","4.",NA,4,2,40,"d",FALSE
"17",41,"codigocritica","2.",NA,2,0,42,"i",FALSE
"18",43,"codimputacao","2.",NA,2,0,44,"i",FALSE
"19",45,"fatoranualiz","3.",NA,3,0,47,"i",FALSE
"20",48,"valordefl","10.",NA,10,2,57,"d",FALSE
"22",58,"valoranualiz","10.",NA,10,2,67,"d",FALSE
"23",68,"valorexp1","15.",NA,15,2,82,"d",FALSE
"24",83,"valorexp2","15.",NA,15,2,97,"d",FALSE





